,Date,Open,High,Low,Close,Adj Close,Volume,Return,Cumsum
5814,2016-03-02,197.740005,199.059998,197.25,199.0,176.2621,102415000,0.006371978194296109,0.006371978194296109
5815,2016-03-03,198.789993,199.800003,198.110001,199.779999,176.952942,95172200,0.0049801601431717635,0.011352138337467873
5816,2016-03-04,200.009995,201.350006,199.029999,200.429993,177.528702,129293600,0.002099885058244177,0.01345202339571205
5817,2016-03-07,199.339996,201.070007,199.25,200.589996,177.670395,100219000,0.0062706934136790085,0.01972271680939106
5818,2016-03-08,199.320007,199.919998,198.210007,198.399994,175.730652,123974900,-0.0046157584170665395,0.01510695839232452
5819,2016-03-09,199.360001,199.789993,198.429993,199.380005,176.598648,94801200,0.00010034109098946148,0.015207299483313981
5820,2016-03-10,199.960007,201.070007,197.380005,199.539993,176.740387,156838700,-0.0021004900244876498,0.013106809458826332
5821,2016-03-11,201.259995,202.809998,199.520004,202.759995,179.592453,137964500,0.007453045996547898,0.02055985545537423
5822,2016-03-14,202.160004,203.039993,201.770004,202.5,179.362167,73612000,0.0016818163497860513,0.02224167180516028
5823,2016-03-15,201.360001,202.529999,201.050003,202.169998,179.06987,93169100,0.004022631088485053,0.026264302893645335
5824,2016-03-16,201.600006,203.820007,201.550003,203.339996,180.106155,129303200,0.008630902520905709,0.034895205414551045
5825,2016-03-17,203.240005,205.229996,202.770004,204.630005,181.248825,134278500,0.006839204712674627,0.041734410127225674
5826,2016-03-18,204.169998,204.779999,203.800003,204.380005,181.961044,138372400,0.0010285889310731086,0.042762999058298785
5827,2016-03-21,204.070007,204.940002,203.800003,204.669998,182.219193,72926700,0.0029401233861867247,0.04570312244448551
5828,2016-03-22,203.759995,205.229996,203.570007,204.559998,182.121323,97471900,0.003926202491318297,0.049629324935803805
5829,2016-03-23,204.110001,204.330002,203.009995,203.210007,180.919403,81052500,-0.0044093576776770525,0.045219967258126756
5830,2016-03-24,202.0,203.160004,201.740005,203.119995,180.839264,84360900,0.005544529702970241,0.050764496961097
5831,2016-03-28,203.610001,203.860001,202.710007,203.240005,180.946106,62408200,-0.0018171798938305325,0.04894731706726647
5832,2016-03-29,202.759995,205.25,202.399994,205.119995,182.619873,92922900,0.011639376889903677,0.060586693957170146
5833,2016-03-30,206.300003,206.869995,205.589996,206.020004,183.421173,86365300,-0.001357241861019283,0.05922945209615086
5834,2016-03-31,205.910004,206.410004,205.330002,205.520004,182.975967,94584100,-0.0018940313361364724,0.05733542076001439
5835,2016-04-01,204.350006,207.139999,203.979996,206.919998,184.222443,114423500,0.012576422434751409,0.0699118431947658
5836,2016-04-04,206.830002,207.070007,205.889999,206.25,183.6259,63497000,-0.0028042450050356207,0.06710759818973018
5837,2016-04-05,204.669998,206.259995,203.889999,204.190002,181.791855,99662200,-0.0023452191561559497,0.06476237903357424
5838,2016-04-06,204.190002,206.490005,203.979996,206.419998,183.777252,91839800,0.010921181145784014,0.07568356017935825
5839,2016-04-07,205.139999,205.559998,203.089996,203.949997,181.578201,113859000,-0.005800926225021541,0.0698826339543367
5840,2016-04-08,205.339996,205.850006,203.869995,204.5,182.067841,95040600,-0.004090756873298144,0.06579187708103856
5841,2016-04-11,205.25,206.070007,203.910004,204.020004,181.640549,83757500,-0.005992672350791717,0.059799204730246844
5842,2016-04-12,204.220001,206.25,203.699997,205.919998,183.332123,115350600,0.008324341355771496,0.06812354608601834
5843,2016-04-13,207.0,208.100006,206.839996,208.0,185.183945,96336400,0.004830917874396135,0.07295446396041447
5844,2016-04-14,208.070007,208.600006,207.600006,208.009995,185.192841,65212900,-0.00028842215591409287,0.07266604180450037
5845,2016-04-15,208.009995,208.169998,207.399994,207.779999,184.988098,75761600,-0.001105696868075978,0.0715603449364244
5846,2016-04-18,207.779999,209.279999,207.0,209.240005,186.287918,82531000,0.007026691726954878,0.07858703666337927
